iteration,id,vl,vr,px,py
1,0,0.000000,0.000000,-1.181740,-0.862697
1,1,0.000000,0.000000,1.044910,-0.994588
1,2,0.000000,0.000000,0.531247,1.233080
1,3,0.000000,0.000000,-0.919392,-0.096664
1,4,0.000000,0.000000,1.344860,1.636460
1,5,0.000000,0.000000,-0.540147,-0.209748
1,6,0.000000,0.000000,-1.854560,-0.377369
1,7,0.000000,0.000000,0.753079,0.664982
1,8,0.000000,0.000000,-0.037410,-0.356007
1,9,0.000000,0.000000,-1.299960,-0.312395
1,10,0.000000,0.000000,1.132930,1.005350
1,11,0.000000,0.000000,-0.580508,1.145160
1,12,0.000000,0.000000,0.263958,-0.019759
1,13,0.000000,0.000000,-1.657360,1.214610
1,14,0.000000,0.000000,0.055722,-1.742080
1,15,0.000000,0.000000,0.747499,-1.553690
1,16,0.000000,0.000000,-1.203800,-1.056060
1,17,0.000000,0.000000,1.780700,-1.014780
1,18,0.000000,0.000000,1.721830,0.315308
1,19,0.000000,0.000000,-1.323380,-0.839070
2,0,0.010000,0.300000,-1.183948,-0.851387
2,1,0.300000,0.700000,1.059249,-1.003485
2,2,0.300000,0.700000,0.541103,1.246778
2,3,0.300000,0.700000,-0.902791,-0.099695
2,4,0.300000,0.700000,1.339575,1.620434
2,5,0.300000,0.700000,-0.554359,-0.218846
2,6,0.300000,0.700000,-1.840456,-0.368104
2,7,0.300000,0.700000,0.751120,0.681743
2,8,0.300000,0.700000,-0.037166,-0.372880
2,9,0.300000,0.700000,-1.304990,-0.328503
2,10,0.300000,0.700000,1.147200,1.014357
2,11,0.300000,0.700000,-0.597368,1.144458
2,12,0.300000,0.700000,0.279981,-0.014465
2,13,0.300000,0.700000,-1.648783,1.200077
2,14,0.300000,0.700000,0.040625,-1.734541
2,15,0.300000,0.700000,0.760480,-1.542907
2,16,0.300000,0.700000,-1.214984,-1.043424
2,17,0.300000,0.700000,1.778287,-1.031482
2,18,0.300000,0.700000,1.704956,0.315172
2,19,0.300000,0.700000,-1.321833,-0.823404
3,0,0.300000,0.700000,-1.192733,-0.822515
3,1,0.300000,0.700000,1.102864,-1.016924
3,2,0.300000,0.700000,0.557491,1.289372
3,3,0.300000,0.700000,-0.857284,-0.096238
3,4,0.300000,0.700000,1.336741,1.574883
3,5,0.300000,0.700000,-0.585300,-0.252396
3,6,0.300000,0.700000,-1.809914,-0.334191
3,7,0.300000,0.700000,0.734498,0.724247
3,8,0.300000,0.700000,-0.024955,-0.416855
3,9,0.610000,0.590000,-1.308343,-0.378296
3,10,0.300000,0.700000,1.178355,1.047707
3,11,0.300000,0.700000,-0.640995,1.131056
3,12,0.300000,0.700000,0.318268,0.010374
3,13,0.300000,0.700000,-1.616377,1.167941
3,14,0.300000,0.700000,-0.004042,-1.725172
