iteration, population, weights, segregation
1, 0, [0.5, 0.5, 0.3, 0.3], 1.147384203138683
2, 0, [0.49, 0.49, 0.29, 0.29], 1.147385878506353
2, 1, [0.49, 0.49, 0.29, 0.31], 0.993756394107569
2, 2, [0.49, 0.49, 0.29, 0.3], 1.0283865980256564
2, 3, [0.49, 0.49, 0.31, 0.29], 0.7113975204059266
2, 4, [0.49, 0.49, 0.31, 0.31], 1.1471565468421432
2, 5, [0.49, 0.49, 0.31, 0.3], 0.6036082910981457
2, 6, [0.49, 0.49, 0.3, 0.29], 0.9119620842840692
2, 7, [0.49, 0.49, 0.3, 0.31], 0.8341407327292495
2, 8, [0.49, 0.49, 0.3, 0.3], 1.1474291350784114
2, 9, [0.49, 0.51, 0.29, 0.29], 0.9974898361602894
2, 10, [0.49, 0.51, 0.29, 0.31], 0.9053225196625946
2, 11, [0.49, 0.51, 0.29, 0.3], 0.8179621889838029
2, 12, [0.49, 0.51, 0.31, 0.29], 0.8740884502647797
2, 13, [0.49, 0.51, 0.31, 0.31], 1.0158900866811609
2, 14, [0.49, 0.51, 0.31, 0.3], 0.5678837479590365
2, 15, [0.49, 0.51, 0.3, 0.29], 0.46112574131506384
2, 16, [0.49, 0.51, 0.3, 0.31], 0.8543641929198563
2, 17, [0.49, 0.51, 0.3, 0.3], 0.9971893812131661
2, 18, [0.49, 0.5, 0.29, 0.29], 0.9972264461050095
2, 19, [0.49, 0.5, 0.29, 0.31], 1.0395560154093915
2, 20, [0.49, 0.5, 0.29, 0.3], 0.6700464671386689
2, 21, [0.49, 0.5, 0.31, 0.29], 0.6804828173857153
2, 22, [0.49, 0.5, 0.31, 0.31], 1.0002647780923148
2, 23, [0.49, 0.5, 0.31, 0.3], 0.5963582611340875
2, 24, [0.49, 0.5, 0.3, 0.29], 0.4454931678754285
2, 25, [0.49, 0.5, 0.3, 0.31], 0.694778769248291
2, 26, [0.49, 0.5, 0.3, 0.3], 0.997146387614301
2, 27, [0.51, 0.49, 0.29, 0.29], 1.1435036985411693
2, 28, [0.51, 0.49, 0.29, 0.31], 1.0159168874622087
2, 29, [0.51, 0.49, 0.29, 0.3], 1.26584295989143
2, 30, [0.51, 0.49, 0.31, 0.29], 0.6877961304923597
2, 31, [0.51, 0.49, 0.31, 0.31], 1.1472059755888657
