iteration,population,w0,w1,w2,w3,segregation
3, 7,  0.78, 0.78, 0.09, 0.5 , 1.5591973970543622
3, 8,  0.78, 0.78, 0.09, 0.49 , 1.440146110477305
3, 9,  0.78, 0.8, 0.08, 0.48 , 1.033090886792738
3, 10,  0.78, 0.8, 0.08, 0.5 , 0.8077626733236949
3, 11,  0.78, 0.8, 0.08, 0.49 , 0.7171931951634389
3, 12,  0.78, 0.8, 0.1, 0.48 , 0.8457181052488741
3, 13,  0.78, 0.8, 0.1, 0.5 , 0.7876162030208337
3, 14,  0.78, 0.8, 0.1, 0.49 , 0.9954666209279279
3, 15,  0.78, 0.8, 0.09, 0.48 , 1.0097088465495232
3, 16,  0.78, 0.8, 0.09, 0.5 , 1.1859254604855594
3, 17,  0.78, 0.8, 0.09, 0.49 , 0.9738572475655927
3, 18,  0.78, 0.79, 0.08, 0.48 , 1.1855721547972145
3, 19,  0.78, 0.79, 0.08, 0.5 , 1.5928930341574037
3, 20,  0.78, 0.79, 0.08, 0.49 , 1.1284887305774218
3, 21,  0.78, 0.79, 0.1, 0.48 , 1.0285097569578319
3, 22,  0.78, 0.79, 0.1, 0.5 , 1.0244616819621397
3, 23,  0.78, 0.79, 0.1, 0.49 , 0.8710618765467681
3, 24,  0.78, 0.79, 0.09, 0.48 , 1.1252421483959931
3, 25,  0.78, 0.79, 0.09, 0.5 , 1.157258398583883
3, 26,  0.78, 0.79, 0.09, 0.49 , 0.8366570500893068
3, 27,  0.8, 0.78, 0.08, 0.48 , 1.0996906757212843
3, 28,  0.8, 0.78, 0.08, 0.5 , 0.9294829201021468
3, 29,  0.8, 0.78, 0.08, 0.49 , 1.121745996670283
3, 30,  0.8, 0.78, 0.1, 0.48 , 1.1782382855787683
3, 31,  0.8, 0.78, 0.1, 0.5 , 0.8103307504513751
3, 32,  0.8, 0.78, 0.1, 0.49 , 0.8980917632839981
3, 33,  0.8, 0.78, 0.09, 0.48 , 1.2087937140007328
3, 34,  0.8, 0.78, 0.09, 0.5 , 1.3171528557138088
3, 35,  0.8, 0.78, 0.09, 0.49 , 0.8056128501898647
3, 36,  0.8, 0.8, 0.08, 0.48 , 0.8227435899356755
